city,geolocation_lat,geolocation_lng,transactions
abadia dos dourados,-18.491105178939936,-47.39826562372559,1
abadiania,-16.19429786829193,-48.71111290947108,1
abaete,-19.160505837091765,-45.45377571289521,2
abaetetuba,-1.72443104027005,-48.886307075047846,4
abaiara,-7.3414919999999455,-39.02446249999997,2
abaira,-13.250584431044702,-41.66252498498597,1
abare,-8.630502028365651,-39.246734317292464,1
abatia,-23.30101085357984,-50.31528949823454,1
abdon batista,-27.612545793229646,-51.02269606144874,1
abelardo luz,-26.5640025711127,-52.32748699973988,2
abrantes,-12.824629999999956,-38.255469999999946,1
abre campo,-20.30145749999999,-42.47811225,1
abreu e lima,-7.911926184131911,-34.91563302909959,1
acaiaca,-20.36377943737353,-43.14662318269655,1
acailandia,-4.9582317881599876,-47.493476420591215,1
acajutiba,-11.660666822858126,-38.02832537258878,1
acarau,-2.8816794321367136,-40.1219269778827,6
acari,-6.438178995948138,-36.6373611791936,1
acegua,-31.696598999999942,-54.16378549999996,1
acopiara,-6.095436548034049,-39.4520284644102,1
acreuna,-17.40195455360714,-50.37053056738647,1
acu,-5.575405522903156,-36.92336238529808,1
acucena,-19.90222920897032,-43.99422191212101,1
adamantina,-21.688046765951295,-51.082423329777136,1
adhemar de barros,-22.69104410322461,-52.73500879810208,2
adolfo,-21.23411902916313,-49.64034643537138,1
adrianopolis,-24.657592131076303,-48.99252109450877,1
adustina,-10.539030244460555,-38.11332852994619,1
afogados da ingazeira,-7.749231126194529,-37.63685582174986,1
afonso claudio,-20.072234826974274,-41.13260705353447,1
afranio,-8.637343437175167,-41.14186055092925,1
agisse,-24.306685360044035,-46.97661011647647,1
agrestina,-8.458042393587931,-35.94626042434976,1
agrolandia,-27.39631662331496,-49.833659258708046,1
agronomica,-27.264562930274323,-49.71090723372474,1
agua boa,-14.049457485780884,-52.16646319170763,1
agua branca,-7.213520383511479,-39.693370920947686,1
agua clara,-20.432566862943663,-52.87786501220904,1
agua comprida,-20.05738292084917,-48.11061678343788,1
agua doce,-26.997249162083232,-51.55546382143922,1
agua doce do norte,-18.54780323599976,-40.977619180814784,1
agua fria de goias,-14.980008322372788,-47.77846316061065,1
agua limpa,-18.07465013678437,-48.76096353443122,1
agua nova,-6.206699717170034,-38.29467861977069,1
agua preta,-8.710233286287728,-35.522258291900684,1
agua santa,-28.173891598417296,-52.03844700775967,1
aguai,-22.05298931956596,-46.97231268956188,2
aguas belas,-9.1099665,-37.12290525,1
aguas claras,-30.13782999999995,-50.87068999999997,2
aguas da prata,-21.936065315045536,-46.71636085595936,1
aguas de lindoia,-22.47745636162786,-46.63246689302297,2
aguas de santa barbara,-22.887704959935643,-49.23640149393402,1
aguas de sao pedro,-22.597237012242356,-47.87304162058393,1
aguas formosas,-17.079065766438983,-40.93146172394964,1
aguas frias,-26.88185262924617,-52.858878093583016,1
aguas lindas de goias,-15.714241825931696,-48.27655331358827,3
